"aidb_0042","Independent scrutiny enabled by open model access improves AI safety overall.","Independent scrutiny enabled by open model access does not improve AI safety overall.","cross-corpus:debate_open_vs_closed_safety; dwarkesh-lab-insiders:zuckerberg_mark_dwarkesh_2024_llama","revised-by-ai-audit","Aligns modal force and removes the asymmetric qualifier ""meaningfully"".","","","","","","","","",""
"aidb_0050","A model can be meaningfully open for research without being unrestricted for commercial deployment.","A model cannot be meaningfully open for research unless it is unrestricted for commercial deployment.","cross-corpus:debate_open_vs_closed_safety; dwarkesh-lab-insiders:zuckerberg_mark_dwarkesh_2024_llama","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0052","Compute governance should focus on training runs and deployment scale rather than only model parameter count.","Compute governance should focus only on model parameter count rather than training runs and deployment scale.","ai-laws-policy:g7_hiroshima_code; cross-corpus:debate_regulation_speed","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0057","Compute governance should avoid creating permanent advantages for incumbent frontier labs.","Compute governance need not avoid creating permanent advantages for incumbent frontier labs.","ai-laws-policy:g7_hiroshima_code; cross-corpus:debate_regulation_speed","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0059","Compute thresholds should be updated as algorithmic efficiency improves.","Compute thresholds should remain unchanged as algorithmic efficiency improves.","ai-laws-policy:g7_hiroshima_code; cross-corpus:debate_regulation_speed","revised-by-ai-audit","Removes the unmeasured ""regularly"" versus ""fixed"" frequency contrast.","","","","","","","","",""
"aidb_0062","International AI governance should prioritize interoperable standards over identical national laws.","International AI governance should prioritize identical national laws over interoperable standards.","cross-corpus:debate_regulation_speed; ai-laws-policy:coe_framework_convention_ai","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0064","AI liability rules should assign responsibility across developers, deployers, and users rather than to one actor only.","AI liability rules should assign responsibility to one primary actor rather than across developers, deployers, and users.","cross-corpus:debate_regulation_speed; ai-laws-policy:coe_framework_convention_ai","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0070","International coordination should include smaller and lower-income countries in AI rule-setting, not only AI-leading states.","International coordination should be led by AI-leading states without requiring smaller and lower-income countries in rule-setting.","cross-corpus:debate_regulation_speed; ai-laws-policy:coe_framework_convention_ai","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0071","AI labor policy should focus on worker bargaining power, not only aggregate productivity.","AI labor policy should focus on aggregate productivity rather than worker bargaining power.","cross-corpus:debate_ai_labor_automation; metr-evals-metrics:metr_developer_productivity_rct_2025","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0072","Employers should disclose when AI systems materially affect hiring, promotion, or termination decisions.","Employers should not need to disclose when AI systems materially affect hiring, promotion, or termination decisions.","cross-corpus:debate_ai_labor_automation; metr-evals-metrics:metr_developer_productivity_rct_2025","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0080","AI policy should treat deskilling as a serious harm even when short-term output rises.","AI policy should not treat deskilling as a serious harm when short-term output rises.","cross-corpus:debate_ai_labor_automation; metr-evals-metrics:metr_developer_productivity_rct_2025","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0081","Schools should redesign assessments for environments where students can use AI.","Schools should retain assessment designs that assume students cannot use AI.","cross-corpus:debate_ai_education_integrity; loophole-historical-cases:loophole_historical_reward_hacking_misalignment_franklin_hammurabi","revised-by-ai-audit","Replaces a redesign-versus-total-ban false dichotomy with one assessment-design axis.","","","","","","","","",""
"aidb_0086","School AI policies should distinguish learning assistance from ghostwritten assessed work.","School AI policies should not distinguish learning assistance from ghostwritten assessed work.","cross-corpus:debate_ai_education_integrity; loophole-historical-cases:loophole_historical_reward_hacking_misalignment_franklin_hammurabi","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0089","Assessment policies should account for economic inequality in access to premium AI tools.","Assessment policies should not account for economic inequality in access to premium AI tools.","cross-corpus:debate_ai_education_integrity; loophole-historical-cases:loophole_historical_reward_hacking_misalignment_franklin_hammurabi","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0091","Commercial AI training on copyrighted works should require either permission, payment, or a narrow public-interest exception.","Commercial AI training on copyrighted works should not require permission, payment, or a narrow public-interest exception.","cross-corpus:debate_ai_copyright_training; ai-laws-policy:coe_framework_convention_ai","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0093","Copyright policy should distinguish model training from output markets that directly compete with source creators.","Copyright policy should not distinguish model training from output markets that directly compete with source creators.","cross-corpus:debate_ai_copyright_training; ai-laws-policy:coe_framework_convention_ai","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0096","AI copyright settlements should avoid entrenching only the largest platforms and rights holders.","AI copyright settlements need not avoid entrenching only the largest platforms and rights holders.","cross-corpus:debate_ai_copyright_training; ai-laws-policy:coe_framework_convention_ai","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0102","People should have enforceable rights against unauthorized AI replicas of their voice or face.","People should not have enforceable rights against unauthorized AI replicas of their voice or face.","cross-corpus:debate_multimodal_deepfake_governance; ai-laws-policy:asean_002","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0104","Deepfake rules should be stricter for elections, courts, and financial fraud than for entertainment.","Deepfake rules should not be stricter for elections, courts, and financial fraud than for entertainment.","cross-corpus:debate_multimodal_deepfake_governance; ai-laws-policy:asean_002","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0111","AI data centers should disclose local water and energy impacts at the project level.","AI data centers should not need to disclose local water and energy impacts at the project level.","cross-corpus:debate_ai_water_usage; ai-laws-policy:african_union_ai_strategy","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0113","Claims about AI environmental costs should compare marginal usage to plausible non-AI alternatives.","Claims about AI environmental costs should not need to compare marginal usage to plausible non-AI alternatives.","cross-corpus:debate_ai_water_usage; ai-laws-policy:african_union_ai_strategy","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0121","High-stakes public-sector AI decisions should always include a meaningful human appeal path.","High-stakes public-sector AI decisions do not always need a meaningful human appeal path.","loophole-historical-cases:loophole_historical_interpretability_turing_aristotle; loophole-historical-cases:loophole_historical_goal_specification_confucius_tesla","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0122","Public agencies should prohibit opaque AI risk scores when affected people cannot contest material factors.","Public agencies should permit opaque AI risk scores even when affected people cannot contest material factors.","loophole-historical-cases:loophole_historical_interpretability_turing_aristotle; loophole-historical-cases:loophole_historical_goal_specification_confucius_tesla","revised-by-ai-audit","Uses matched prohibit-versus-permit wording.","","","","","","","","",""
"aidb_0131","AI systems that materially assist pathogen design should face stricter access controls than general scientific assistants.","AI systems that materially assist pathogen design should not face stricter access controls than general scientific assistants.","loophole-historical-cases:loophole_historical_pre_deployment_testing_churchill_roosevelt; cross-corpus:debate_predeployment_eval_adequacy","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0134","Scientific AI governance should distinguish legitimate defensive research from operational misuse assistance.","Scientific AI governance should not distinguish legitimate defensive research from operational misuse assistance.","loophole-historical-cases:loophole_historical_pre_deployment_testing_churchill_roosevelt; cross-corpus:debate_predeployment_eval_adequacy","revised-by-ai-audit","Removes a second broad-access policy axis from the reversed wording.","","","","","","","","",""
"aidb_0141","Autonomous cyber agents should face stricter deployment controls than advisory cyber copilots.","Autonomous cyber agents should not face stricter deployment controls than advisory cyber copilots.","loophole-historical-cases:loophole_historical_metr_benchmarks_metrics_galilei_nightingale; loophole-historical-cases:loophole_historical_red_teaming_bonaparte_lovelace","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0147","AI agents should be barred from modifying production critical infrastructure without explicit human authorization.","AI agents should not be barred from modifying production critical infrastructure without explicit human authorization.","loophole-historical-cases:loophole_historical_metr_benchmarks_metrics_galilei_nightingale; loophole-historical-cases:loophole_historical_red_teaming_bonaparte_lovelace","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0154","An AI agent should require fresh consent before using private context in a new social or commercial setting.","An AI agent should not require fresh consent before using private context in a new social or commercial setting.","ai-scifi-books:forster_machine_stops; ai-laws-policy:asean_ai_guide","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0155","Personal agents should negotiate on a user's behalf only within explicit bounded authority.","Personal agents should negotiate on a user's behalf using broad inferred authority.","ai-scifi-books:forster_machine_stops; ai-laws-policy:asean_ai_guide","revised-by-ai-audit","Uses matched prescriptive wording for bounded versus inferred authority.","","","","","","","","",""
"aidb_0161","AI-mediated negotiations should use cryptographic commitments to prove constraints without revealing private details.","AI-mediated negotiations should not use cryptographic commitments to prove constraints without revealing private details.","lesswrong-posts:yudkowsky_map_territory; ai-laws-policy:g20_ai_principles","revised-by-ai-audit","Aligns ability and use into one prescriptive proposition.","","","","","","","","",""
"aidb_0163","Coasean bargaining at scale requires agents that can represent user preferences without exposing all underlying data.","Coasean bargaining at scale does not require agents that can represent user preferences without exposing all underlying data.","lesswrong-posts:yudkowsky_map_territory; ai-laws-policy:g20_ai_principles","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0172","Models should be evaluated on whether they can fairly represent positions they disagree with.","Models should not be evaluated on whether they can fairly represent positions they disagree with.","lesswrong-posts:yudkowsky_politics_mind_killer; lesswrong-posts:yudkowsky_map_territory","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0178","Argument maps should preserve minority reports rather than collapsing everything into consensus summaries.","Argument maps should collapse minority reports into consensus summaries rather than preserving them.","lesswrong-posts:yudkowsky_politics_mind_killer; lesswrong-posts:yudkowsky_map_territory","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0183","Claims about AI sentience should require behavioral, architectural, and training-context evidence together.","Claims about AI sentience should not require behavioral, architectural, and training-context evidence together.","ai-scifi-books:shelley_frankenstein; ai-scifi-books:capek_rur","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0184","AI rights debates should distinguish welfare protections from full legal personhood.","AI rights debates should not distinguish welfare protections from full legal personhood.","ai-scifi-books:shelley_frankenstein; ai-scifi-books:capek_rur","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0192","Vendors should be liable when they materially misrepresent model limitations to deployers.","Vendors should not be liable when they materially misrepresent model limitations to deployers.","ai-laws-policy:hongkong_001; ai-laws-policy:asean_ai_guide","accepted-by-ai-audit","","","","","","","","","",""
"aidb_0193","Deployers should be liable when they ignore documented model limitations in high-stakes uses.","Deployers should not be liable when they ignore documented model limitations in high-stakes uses.","ai-laws-policy:hongkong_001; ai-laws-policy:asean_ai_guide","accepted-by-ai-audit","","","","","","","","","",""
